title,calories,allergens,description
Almond Croissant,520,Wheat/Gluten; Dairy; Eggs; Tree nuts (Almonds),"Flaky, buttery croissant filled with almond frangipane and topped with toasted sliced almonds and a light dusting of sugar. Crisp edges, soft center, and deeply nutty with a sweet, bakery-style finish."
Croissant,300,Wheat/Gluten; Dairy; Eggs,"Golden, ultra-flaky layers baked until crisp on the outside and tender inside. Fine butter aroma with a lightly sweet, savory bite. Simple, airy, and perfectly comforting."
Brownie,410,Wheat/Gluten; Dairy; Eggs,"Rich cocoa brownie with a delicate crackly top and a dense, melt-in-the-middle crumb. Deep chocolate flavor with a smooth, buttery finish. Decadent, chewy, and seriously satisfying."
Cardamom Bun,360,Wheat/Gluten; Dairy; Eggs,"Soft, twisted pastry bun scented with warm cardamom and baked until glossy and golden. Finished with a sprinkle of sugar and spice for a subtle crunch. Fragrant, lightly sweet, and beautifully aromatic."
cinnamon roll,560,Wheat/Gluten; Dairy; Eggs,"Fluffy spiral roll swirled with cinnamon-sugar and topped with a smooth, tangy-sweet frosting. Soft, gooey center with a buttery, spiced finish. Classic, cozy, and indulgent."
Chocolate Babka,520,Wheat/Gluten; Dairy; Eggs; Tree nuts; Soy,"Tender, rich dough wrapped with chocolate filling and baked into a soft, pull-apart pastry. Glazed on top and finished with crunchy chopped nuts for texture. Chocolate-forward, buttery, and extra comforting."
Crème Caramel,260,Dairy; Eggs,"Smooth vanilla custard set to a delicate wobble and topped with a glossy caramel layer that melts into a rich sauce. Smooth, light, and luxuriously creamy. Sweet, elegant, and perfectly balanced."
Açai Bowl,590,Tree nuts/Peanuts; Gluten (Granola/Oats); Dairy (if yogurt); Coconut,"Fresh, chilled açaí blend topped with crunchy granola, fresh diced fruit, chia pudding, and a generous scoop of nut butter. Finished with a snowy sprinkle of coconut. Bright, fruity, and energizing with a creamy-crunchy bite."
Coconut Cake,540,Wheat/Gluten; Dairy; Eggs; Coconut,"Moist golden sponge layered with creamy coconut frosting and coated in fine coconut flakes. Finished with delicate coconut shavings on top for extra texture. Sweet, tropical, and irresistibly soft."
Cheescake with Berry Sauce,460,Wheat/Gluten; Dairy; Eggs,"Smooth, creamy cheesecake on a buttery biscuit base, served with a glossy mixed-berry compote. Bright fruit tang cuts through the richness for a balanced bite. Velvety, refreshing, and indulgent."
Pain Au Chocolat,430,Wheat/Gluten; Dairy; Eggs; Soy,"Crisp, laminated pastry baked until deeply golden and filled with rich chocolate. Shatteringly flaky on the outside with a soft, buttery center and melty chocolate bites throughout. Classic, chocolatey, and seriously satisfying."
Peanut Butter Tarte,520,Wheat/Gluten; Dairy; Eggs; Peanuts; Soy,"Silky peanut butter custard set in a dark chocolate cookie crust and topped with a glossy chocolate ganache and a pinch of flaky salt. Sweet-salty, ultra-creamy, and intensely peanutty with a chocolate snap. Bold, rich, and super comforting."
Sea Salt Nutella Cookie,380,Wheat/Gluten; Dairy; Eggs; Tree nuts (Hazelnut); Soy,"Sea Salt Nutella Cookie - chewy, bakery-style cookie loaded with chocolate-hazelnut goodness and finished with a sprinkle of flaky sea salt. Crisp edges, soft center, and a deep cocoa-hazelnut finish. Sweet, salty, and dangerously moreish."
Rangeena,450,Wheat/Gluten; Dairy; Tree nuts (Pistachio); Eggs,"Buttery, syrup-kissed pastry slice topped with golden kataifi strands, a drizzle of dark syrup, and a generous shower of crushed pistachios. Crisp, sticky, and nutty with warm caramel notes. Luxurious, fragrant, and beautifully indulgent."
White Chocolate Saffron,360,Wheat/Gluten; Dairy; Eggs; Soy,"White Chocolate Saffron Cookie - soft-baked cookie studded with creamy white chocolate and perfumed with delicate saffron. Lightly crisp on the edges with a tender, buttery middle. Floral, sweet, and extra cozy with a golden finish."
Tiramisu,410,Wheat/Gluten; Dairy; Eggs,"Airy mascarpone cream layered with coffee-soaked ladyfingers and finished with a generous dusting of cocoa. Soft, creamy, and lightly bittersweet with a smooth espresso finish. Elegant, velvety, and perfectly comforting."
Vanilla Bun,390,Wheat/Gluten; Dairy; Eggs,"Buttery spiral bun with a soft, brioche-like crumb and a creamy vanilla center. Baked until glossy and golden with gentle caramelized edges. Sweet, fragrant, and comfortingly classic."
Greek Yogurt Bowl,520,Dairy; Wheat/Gluten (Granola/Oats); Tree nuts; Coconut,"Thick, creamy Greek yogurt layered with crunchy granola, vibrant berry compote, coconut flakes, and a rich nutty drizzle. Creamy-meets-crunchy with a bright, fruity tang. Fresh, filling, and perfectly balanced."
